Name,Instance ID,Instance State,Total Volume Size (GB),Backup
match-ecs-intance,i-037fc0423caa397d0,running,180,não
ecs/busca,i-02e5e64bd746a1d7e,running,60,não
data-job-cluster-spot-r5-xlarge,i-09854e229608e7472,running,310,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-060f4d1d965c47deb,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c143ccf3527205d5,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0cefd41c1b94a43c9,running,212,não
data-job-cluster-spot-r5-xlarge,i-006221d0dc131a379,running,310,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c23efbfcb05d8fb2,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-089d7a418494556b1,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-096c371e47e81a8f1,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-00d7e3cbe9a88aa1c,terminated,0,não
ecs/squad-ooppa,i-09b4b786ee24d4935,running,60,não
ecs/squad-ooppa,i-02d65af87bd085f17,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-078a6b033851ea546,running,212,não
karpenter.sh/provisioner-name/manager,i-01d3ab3075db0dcfc,running,40,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-08e349d21a0a921f0,running,212,não
match-ecs-intance,i-0fb7bb44bb7076433,running,180,não
karpenter.sh/provisioner-name/manager,i-062482078df2f8c5d,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0abff96b7646883a6,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-00a5a726c1790ef8a,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-090adaa9aa75ef650,terminated,0,não
ecs/squad-ooppa,i-0c14aee397acb606c,running,60,não
karpenter.sh/provisioner-name/manager,i-0542769204790e4ff,running,40,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c4bb73df588c97bc,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-067b6b9dca3c38fd4,running,212,não
ecs/squad-ooppa,i-01c8b4a078ecb4e87,running,60,não
ecs/squad-ooppa-preprod,i-047ecfb64d559e3ee,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-023e7e2919ea0bc57,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-025dce48ad6f53af7,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0a2618bd54e9df5bc,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-09e7ffc3dc420cc8f,running,212,não
data-job-cluster-spot-r5-xlarge,i-0c5457064c48958f2,running,310,não
data-job-cluster-spot-r5-xlarge,i-005f9a67cb34e434d,running,310,não
ecs/busca,i-0a93379fd2fc21835,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-053667a3b814c66e5,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-03e850aa7f55df98d,terminated,0,não
ecs/prod-web,i-02187c01587c76534,running,30,não
ecs/prod-core,i-03a3ffd9dacca6288,running,30,não
data-ecs,i-08d0da941f1be563a,running,230,não
karpenter.sh/provisioner-name/manager,i-0b8c43ca976928887,running,81,não
match-ecs-intance,i-05f9d9e8499807665,running,180,não
ecs/preprod-web,i-0d49caf97f72de930,running,30,não
match-ecs-intance,i-092d0604f32e0a812,running,180,não
match-ecs-intance,i-044a90413cdca342a,running,180,não
ecs/squad-ooppa,i-03cec23b81547aa6a,running,60,não
ecs/squad-ooppa,i-09208b7a650df0372,running,60,não
ecs/squad-ooppa,i-038550dccf62ba357,running,60,não
ecs/squad-ooppa,i-0bc348a81d987b5e9,running,60,não
match-ecs-intance,i-001844aa92d36cc1a,running,180,não
workerenv-6031775858979563-dbbc3b1b-ad2b-416b-b47c-032abf7866b4-worker,i-056ffedd9cac4c6be,running,280,não
ecs/squad-ooppa,i-08aa2cd836c4f2200,running,60,não
ecs/busca,i-0f7686e3a1908c3d6,running,60,não
ecs/busca,i-01dc2468022f1ebbd,running,60,não
data-ecs,i-0a2d2960d781437b0,running,230,não
ecs/squad-ooppa,i-0b91effcb8aa66ae5,running,60,não
ecs/busca,i-0819b659558bbf508,terminated,0,não
ecs/busca,i-09dbcc7c974a6a81c,terminated,0,não
ecs/busca,i-019708296b34ab32e,terminated,0,não
ecs/busca,i-051ad8dfe9f652799,running,60,não
ecs/busca,i-0c69cd169e43fe02b,running,60,não
data-ecs,i-0b24b0c454abe5aac,running,230,não
ecs/busca,i-0cc281b24aeb6f4dd,terminated,0,não
ecs/prod-web,i-03b4c241d016e0dd0,running,30,não
karpenter.sh/provisioner-name/manager,i-00daaca2a70b322fd,running,60,não
data-ecs,i-09310da060633d4ff,running,230,não
karpenter.sh/provisioner-name/manager,i-0579bc26cfa036e32,running,40,não
ecs/prod-core,i-08f721b0d8e6db5ec,running,30,não
karpenter.sh/provisioner-name/manager,i-0dee6a38d315444bb,running,60,não
ecs/squad-ooppa-preprod,i-0e89f0527e0bc9ceb,running,60,não
data-ecs,i-018031cf8386a67dc,running,230,não
data-ecs,i-0d197e04f6a8975c4,running,230,não
data-ecs,i-0ff238f6d5c1acb99,running,230,não
karpenter.sh/provisioner-name/manager,i-05a586ca3839bc0ab,terminated,0,não
karpenter.sh/provisioner-name/manager,i-061b0e5ba5846958b,running,40,não
karpenter.sh/provisioner-name/manager,i-0230b64999b703f2e,running,60,não
match-ecs-intance,i-07ac15add039ff3bd,running,180,não
match-ecs-intance,i-03f74ae524ed2c4f6,running,180,não
ecs/busca,i-060b572d0d05931df,terminated,0,não
ecs/busca,i-08c807619354d6615,terminated,0,não
ecs/squad-ooppa,i-003bb4e1fdec85ffb,terminated,0,não
workerenv-6031775858979563-dbbc3b1b-ad2b-416b-b47c-032abf7866b4-worker,i-010ba008d211a839c,running,180,não
data-ecs,i-0795f6da80d98946d,terminated,0,não
ecs/squad-ooppa,i-0ba2b43b75ec5f392,running,60,não
ecs/squad-ooppa,i-0b472d051dcf7963a,running,60,não
ecs/squad-ooppa,i-02e20985066aad364,terminated,0,não
ecs/busca,i-0a65303fdd43f873a,terminated,0,não
match-ecs-spot-intance,i-09aaa6dbab2371368,running,180,não
data-ecs,i-0500eab107ace802c,terminated,0,não
workerenv-6031775858979563-dbbc3b1b-ad2b-416b-b47c-032abf7866b4-worker,i-027dc503114d5bece,running,180,não
ecs/squad-ooppa,i-0356ced70e2d170ac,running,60,não
karpenter.sh/provisioner-name/manager,i-07abcd68b4178472e,terminated,0,não
data-ecs,i-03a5e711f31f1b738,running,230,não
ecs/squad-ooppa,i-0c8e7f95d999d3e4e,running,60,não
data-ecs,i-05fdcee7e33dd6096,shutting-down,0,não
data-ecs,i-0d53a193f8100a2da,running,230,não
ecs/busca,i-0b0ebe22fc4a24bef,running,60,não
ecs/squad-ooppa,i-072e97ca0cbe84cc7,running,60,não
ecs/squad-ooppa,i-04b6866695b3a623a,terminated,0,não
data-ecs,i-0d25820c79ba021e5,terminated,0,não
ecs/busca,i-0f37532262a559386,terminated,0,não
data-ecs,i-01b06c075c6b20801,terminated,0,não
karpenter.sh/provisioner-name/manager,i-029762473b4f55a86,running,50,não
karpenter.sh/provisioner-name/manager,i-070bb1ec0546f408b,running,40,não
karpenter.sh/provisioner-name/manager,i-0076911f306eda07e,running,50,não
match-ecs-intance,i-0b0ba6846fb427627,running,180,não
ecs/squad-ooppa,i-0a007641deed423de,running,60,não
ecs/squad-ooppa,i-0832892bea9b9f363,running,60,não
data-ecs,i-02337022ebf5125b9,running,230,não
ecs/squad-ooppa,i-00adce7cc6be8b758,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-03ca7fd317f6b36e3,running,712,não
ecs/busca,i-06342427881670e9d,running,60,não
data-ecs,i-06767124301551c5e,running,230,não
ecs/squad-ooppa,i-0dd2cd9904290420a,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c0b20e04143ac274,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-02e134d14ae5d4607,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-034fc510d6cf41c4e,terminated,0,não
ecs/squad-ooppa,i-04f57fdc2036b26b4,running,60,não
ecs/squad-ooppa,i-033992167a84f0dea,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0613653235a05a241,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-01cdabac9ddb0abff,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0d50923e8e52fa0b2,terminated,0,não
ecs/squad-ooppa,i-02aee6b43b838e6ef,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-09a40de65518bbf82,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-06e347c36a449d82b,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-03ae557e0d752fe76,running,212,não
ecs/busca,i-057c685504aeff438,running,60,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-00db6795c09120464,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c1bd04833df512e5,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0d4739aace2b115f7,running,212,não
match-ecs-intance,i-01bc211ba4c300db9,running,180,não
match-ecs-spot-intance,i-067ae1f2a65ea63a6,running,180,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-02de1567bf855793f,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-053ba6ae2be3c5675,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-095cfeff9529d61de,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-06d504b3ce186fdf0,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-08f5bd861b7bd7f56,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-09cbce58bfd3fb681,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-06086eac21025ba3e,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0b3d594e21ae402f1,terminated,0,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0606e22a962ec2c95,running,212,não
workerenv-8652283440770854-d5385fcc-524c-4acd-8a2c-b2eae73e38c4-worker,i-0c935bcea04762125,terminated,0,não
data-job-cluster-spot-r5-xlarge,i-0d79cd4944f9f4d2e,running,310,não
ecs/prod-core,i-0b6d2673a1baa4179,running,30,não
ecs/preprod-core,i-0844462dc0ad313b3,running,30,não
ecs/squad-ooppa-preprod,i-03e049ac3eec7ce43,running,60,não
runner-qcgdzfzf-prod-gitlab-spawn-x86-1721825883-7da858a2,i-0f6fd0dcb99451f64,running,30,não
runner-qcgdzfzf-prod-gitlab-spawn-x86-1721824280-39a6c1a8,i-0c89e45e9a005cbfc,terminated,0,não
runner-qcgdzfzf-prod-gitlab-spawn-x86-1721822774-47340ebc,i-0c530c890e935d894,terminated,0,não
